"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000049283",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"EPN3","55040"
"ENSG00000006282",514.311592597469,0.02479637408689,0.0863148256173986,0.287278273570326,0.773899257020569,0.842310556825135,"SPATA20","64847"
"ENSG00000006283",8.19026578489234,0.778434707166003,0.644657031373932,1.20751759351318,0.227232873718648,0.322853378276819,"CACNA1G","8913"
"ENSG00000108846",220.734790494197,-0.796972858542462,0.134500638059286,-5.9254206525858,3.114989672371e-09,1.21709220019628e-08,"ABCC3","8714"
"ENSG00000154945",769.273332607335,-0.252314621644042,0.070585905219,-3.57457513452877,0.00035079706860314,0.000855401587867815,"ANKRD40","91369"
"ENSG00000108848",1154.64737549812,0.2909684871055,0.0626716487764954,4.64274504957057,3.43810493780233e-06,1.04670090008946e-05,"LUC7L3","51747"
"ENSG00000141232",357.474353117631,-0.277817185544626,0.105579414146333,-2.63135752164311,0.00850445180732892,0.016972052909467,"TOB1","10140"
"ENSG00000008294",1895.87081818244,-0.126351166725959,0.0616913883075862,-2.04811676624922,0.0405485594524984,0.0708650147291499,"SPAG9","9043"
"ENSG00000239672",582.920816062646,-0.739032317399218,0.0824465603863651,-8.96377379403008,3.1375224940264e-19,2.09423942558701e-18,"NME1","4830"
"ENSG00000011052",0.96174626514157,-0.172101087492604,1.82538967473052,-0.0942818346542972,0.924885279477534,0.94916504762481,"NME1-NME2","654364"
"ENSG00000243678",39.682166434477,-0.133017345455983,0.288081102007519,-0.4617357561084,0.644270826353649,0.739391328360074,"NME2","4831"
"ENSG00000011258",154.840836009305,0.412483282121524,0.146782219295714,2.81017199563195,0.00495150310568377,0.0102868977687577,"MBTD1","54799"
"ENSG00000011260",542.287686845102,0.255831505627076,0.083431823609493,3.06635399490377,0.00216686606488964,0.00475439512644686,"UTP18","51096"
"ENSG00000141198",79.3875628047152,-1.37248436180942,0.209343506291046,-6.55613534962619,5.52201156495084e-11,2.43662893545645e-10,"TOM1L1","10040"
"ENSG00000166260",489.921581336081,-0.066393724958178,0.0886013539215029,-0.749353390434644,0.45364423586015,0.567941619784819,"COX11","1353"
"ENSG00000166263",206.337708726295,-0.13214885069799,0.130166819089519,-1.01522685752279,0.309997700859973,0.417465836556496,"STXBP4","252983"
